Código;Producto;Categoría;Costo;Precio venta;Stock actual
P068;JP Champaña 50 Gr;1;24000; $ 24.000 ;
P069;JP Champaña  125 Gr;1;46000; $ 46.000 ;
P048;NARANJA VAINILLA 50G;1;16000; $ 16.000 ;
P034;CHOCO BERRY FANTASY 25 GR;1;10000; $ 10.000 ;
P035;CHOCO BERRY FANTASY 50 GR;1;20000; $ 20.000 ;
P037;CHOCO BERRY FANTASY 125 GR;1;42500; $ 42.500 ;
P047;MARUCUYA 25 GR;1; $ 7.000 ; $ 7.000 ;
P048;MARUCUYA 50 GR;1; $ 13.000 ; $ 13.000 ;
P049;MARUCUYA 100 GR;1; $ 20.000 ; $ 20.000 ;
P054;Vainilla floral 25 GR;1; $ 10.000 ; $ 10.000 ;
P055;Vainilla floral 50 GR;1; $ 20.000 ; $ 20.000 ;
P056;Vainilla floral 125 GR;1; $ 42.000 ; $ 42.000 ;
P057;Verbena y Bergamota 25GR;1; $ 10.000 ; $ 10.000 ;
P058;Verbena y Bergamota 50 GR;1; $ 20.000 ; $ 20.000 ;
P059;Verbena y Bergamota 125 GR;1; $ 42.000 ; $ 42.000 ;
P060;Pino  25GR;1; $ 42.000 ; $ 42.000 ;
P061;Pino  50GR;1; $ 6.000 ; $ 6.000 ;
P062;Pino  125GR;1; $ 16.500 ; $ 16.500 ;
P063;Gengibre cardamomo 25 Gr;1; $ 13.000 ; $ 13.000 ;
P064;Gengibre cardamomo 50 Gr;1; $ 24.000 ; $ 24.000 ;
P065;Gengibre cardamomo  125 Gr;1; $ 46.000 ; $ 46.000 ;
